ot;fecha;periodo;serviciousuariots;paradero;toc;varianza;n;IC
OT01;25-08-2017;3;210I;T-34-270-NS-8;7.0;62.1075;2;10.92227476
OT01;25-08-2017;3;213EI;T-34-270-NS-8;14.0;121.5;2;15.27668812
OT01;25-08-2017;3;F13R;T-34-270-NS-8;15.0;72.03;1;16.63461596
OT01;25-08-2017;3;F15R;T-34-270-NS-8;0.0;0.0;3;0.0
OT01;06-09-2017;4;101CI;L-12-25-NS-25;40.9;442.5248812;10;13.03841855
OT01;14-09-2017;4;101I;T-2-9-OP-20;31.3;624.731827;10;15.49183587
OT01;06-09-2017;4;101I;T-4-9-OP-10;67.625;542.9495666;8;16.146962
OT01;06-09-2017;4;101I;L-12-25-NS-25;55.75;482.85363330000007;8;15.22715714
OT01;24-08-2017;4;102R;T-34-269-SN-10;14.0;558.9675;9;15.4464291
OT01;05-09-2017;4;104I;T-18-159-NS-25;25.1;729.3377186;10;16.73864923
OT01;05-09-2017;4;104I;E-31-254-NS-60;28.15;1666.814377;20;17.89306305
OT01;05-09-2017;4;104IPM;E-31-254-NS-60;28.15;1666.814377;20;17.89306305
OT01;14-09-2017;4;104R;E-32-254-SN-5;83.32;1189.301048;25;13.51860778
OT01;24-08-2017;4;104R;T-34-269-SN-10;25.36;1796.098412;25;16.613117300000003
OT01;01-09-2017;4;105I;T-30-232-PO-5;44.11764706;1148.0354439999999;17;16.10679973
OT01;01-09-2017;4;105I;E-5-30-PO-7;52.57142857;1012.4320369999999;21;13.609098699999999
OT01;01-09-2017;4;105I;T-5-30-PO-6;52.57142857;1012.4320369999999;21;13.609098699999999
OT01;01-09-2017;4;105R;T-29-238-SN-10;25.81818182;1463.475383;22;15.98591288
OT01;30-08-2017;4;105R;T-7-51-SN-15;91.46666667;310.1053937;15;8.911793237000001
OT01;26-09-2017;4;106I;T-13-104-PO-33;62.08333333;617.9655853999999;12;14.06525445
OT01;05-09-2017;4;106I;T-18-159-NS-25;24.25;550.5254269999999;8;16.25922231
OT01;26-09-2017;4;106IPM;T-13-104-PO-33;62.08333333;617.9655853999999;12;14.06525445
OT01;31-08-2017;4;106IPM;T-18-153-PO-15;20.75;222.82790830000002;4;14.62887293
OT01;14-09-2017;4;106R;E-32-254-SN-5;50.06666667;506.1056146000001;15;11.38494716
OT01;14-09-2017;4;107CI;T-2-9-OP-20;48.85714286;168.3426771;7;9.611787616
OT01;06-09-2017;4;107CI;T-4-9-OP-10;37.5;254.0139875;8;11.044343199999998
OT01;14-09-2017;4;107I;T-2-9-OP-20;30.5;733.6195207000001;14;14.18820625
OT01;06-09-2017;4;107I;T-4-9-OP-10;37.83333333;741.8656103;12;15.41090233
OT01;01-09-2017;4;109I;E-5-30-PO-7;68.16666667;239.07937909999998;12;8.748558657
OT01;01-09-2017;4;109I;T-5-30-PO-6;68.16666667;239.07937909999998;12;8.748558657
OT01;05-09-2017;4;110CI;T-5-40-NS-5;43.0;491.04604789999996;13;12.0460734
OT01;06-09-2017;4;110I;T-13-12-NS-25;33.0;447.61347489999997;7;15.67323435
OT01;05-09-2017;4;110I;T-5-40-NS-5;62.8;303.5337895;10;10.79840454
OT01;06-09-2017;4;111I;T-13-12-NS-25;36.625;438.0389541;8;14.50332051
OT01;05-09-2017;4;113I;L-28-3-PO-13;54.33333333;307.6777854;9;11.45995434
OT01;06-09-2017;4;113R;T-12-426-OP-10;36.71428571;353.6248958;7;13.93087732
OT01;06-09-2017;4;113RPM;T-12-426-OP-10;36.71428571;353.6248958;7;13.93087732
OT01;05-09-2017;4;114I;E-31-254-NS-60;41.0;346.5909042;6;14.89666415
OT01;14-09-2017;4;114R;E-32-254-SN-5;55.5;467.13749989999997;10;13.39610175
OT01;24-08-2017;4;114R;T-34-269-SN-10;22.84615385;847.7225269999999;13;15.82746119
OT01;05-09-2017;4;115I;L-28-3-PO-13;61.09090909;404.740025;11;11.88906786
OT01;06-09-2017;4;115R;T-12-426-OP-10;25.77777778;511.9817687;9;14.78298257
OT01;06-09-2017;4;115RPM;T-12-426-OP-10;25.77777778;511.9817687;9;14.78298257
OT01;08-09-2017;4;117CI;T-14-121-OP-20;56.7;547.9685416;10;14.50887986
OT01;25-08-2017;4;117CI;T-14-115-OP-5;61.83333333;266.11342709999997;6;13.05310526
OT01;08-09-2017;4;117I;T-14-121-OP-20;65.14285714;173.9041104;7;9.769266901
OT01;25-08-2017;4;117R;T-14-115-OP-5;50.625;359.2768792;8;13.134867999999999
OT01;17-11-2017;4;118R;T-12-12-OP-15;76.625;274.01451460000004;8;11.47090972
OT01;23-08-2017;4;119I;T-20-181-NS-5;14.30769231;836.1975;13;15.7195036
OT01;01-09-2017;4;120I;E-5-30-PO-7;48.875;293.09567710000005;8;11.86358058
OT01;01-09-2017;4;120I;T-5-30-PO-6;48.875;293.09567710000005;8;11.86358058
OT01;01-09-2017;4;120R;T-29-238-SN-10;26.72727273;601.1703353999999;11;14.48967018
OT01;30-08-2017;4;120R;T-7-51-SN-15;104.8;103.2683729;5;8.907477548
OT01;23-08-2017;4;121I;T-20-181-NS-5;15.55555556;614.3941332999999;9;16.19415705
OT01;01-09-2017;4;121R;T-29-238-SN-10;18.18181818;754.2985416;11;16.23047996
OT01;05-09-2017;4;121R;L-28-8-SN-55;65.91666667;412.3878666;12;11.48995659
OT01;01-09-2017;4;125I;T-30-232-PO-5;27.75;398.0573187;8;13.82559671
OT01;01-09-2017;4;125R;T-29-238-SN-10;25.90909091;606.9889916000001;11;14.55962322
OT01;05-09-2017;4;125R;L-28-3-PO-13;86.875;95.97752915;8;6.788844489
OT01;05-09-2017;4;126I;T-18-159-NS-25;12.66666667;351.6975;6;15.006004999999998
OT01;31-08-2017;4;126IPM;T-18-153-PO-15;23.5;272.4519083;4;16.17599495
OT01;14-09-2017;4;126R;E-32-254-SN-5;56.6;257.45683959999997;10;9.945080165
OT01;05-09-2017;4;201ER;T-4-22-SN-10;53.08333333;979.7642060000001;12;17.71031285
OT01;01-09-2017;4;201ER;T-30-243-SN-30;43.52;1847.740387;25;16.85025753
OT01;05-09-2017;4;201R;T-4-22-SN-10;60.76923077;867.7201937000001;13;16.01305692
OT01;14-09-2017;4;201R;T-27-228-SN-40;54.0;2748.757516;36;17.12667419
OT01;05-09-2017;4;202CR;T-4-22-SN-10;31.0;620.1352833;8;17.2565629
OT01;16-11-2017;4;203ER;L-23-1-SN-15;39.2;665.9690893999999;10;15.99495812
OT01;25-08-2017;4;203I;T-4-19-NS-80;65.14285714;1221.01736;21;14.94539313
OT01;16-11-2017;4;203R;L-23-1-SN-15;53.15;1698.2753969999999;20;18.0611389
OT01;26-09-2017;4;204ER;T-22-211-SN-15;50.71428571;228.3339875;7;11.19418118
OT01;26-09-2017;4;204R;T-22-211-SN-15;60.83870968;1691.250593;31;14.47702103
OT01;25-08-2017;4;208I;T-4-19-NS-80;49.41666667;1121.036106;24;13.39554078
OT01;25-08-2017;4;210I;T-34-270-NS-8;18.6875;1222.761108;16;17.13432059
OT01;14-09-2017;4;211CR;T-27-228-SN-40;54.83333333;763.8114895;24;11.05715873
OT01;14-09-2017;4;211R;T-27-228-SN-40;57.94736842;600.690225;19;11.02058258
OT01;05-09-2017;4;212I;T-18-159-NS-25;18.83333333;1053.566533;12;18.36523254
OT01;25-08-2017;4;213EI;T-34-270-NS-8;16.36363636;617.6802;11;14.68728658
OT01;05-09-2017;4;214I;T-4-22-SN-10;45.5;296.99931039999996;8;11.94232259
OT01;25-08-2017;4;221ER;T-34-270-NS-8;10.75;190.485;4;13.52559773
OT01;05-09-2017;4;223R;T-4-22-SN-10;22.0;313.64409989999996;3;20.0407516
OT01;31-08-2017;4;223R;L-4-18-PO-30;55.6;366.8901541;5;16.78955161
OT01;05-09-2017;4;224I;T-18-159-NS-25;33.4;240.27926040000003;5;13.58717636
OT01;23-08-2017;4;225I;L-17-24-NS-10;31.90909091;789.9627436000001;11;16.60974762
OT01;31-08-2017;4;225R;L-33-6-SN-35;53.46153846;770.9506374;13;15.09376837
OT01;31-08-2017;4;225R;L-19-28-OP-40;47.66666667;304.5751562;6;13.96457375
OT01;30-08-2017;4;225R;L-17-22-SN-40;53.5;51.41743541;2;9.937937912
OT01;30-08-2017;4;225R;L-32-3-SN-70;32.8;397.770452;5;17.48184755
OT01;05-09-2017;4;225R;L-33-134-SN-40;115.91666670000001;644.6178937000001;12;14.36536373
OT01;01-09-2017;4;225R;L-17-46-SN-5;60.33333333;179.6234854;3;15.16620785
OT01;31-08-2017;4;226R;L-33-57-OP-75;26.33333333;1130.7021539999998;15;17.01706084
OT01;31-08-2017;4;227I;T-18-157-OP-40;52.375;198.2954458;8;9.75814906
OT01;14-09-2017;4;227RPM;T-18-153-PO-55;28.4;215.57795;5;12.86984268
OT01;31-08-2017;4;227RPM;T-18-153-PO-15;53.16666667;156.2003625;6;10.00049426
OT01;16-11-2017;4;229R;L-23-1-SN-15;47.22222222;376.1952375;9;12.67189201
OT01;05-09-2017;4;230R;T-4-22-SN-10;56.55555556;693.1849477999999;9;17.20122507
OT01;01-09-2017;4;261ER;T-30-243-SN-30;40.0;376.8027521;10;12.03131519
OT01;01-09-2017;4;301C2R;T-27-230-SN-40;82.6;175.453075;15;6.7033351539999995
OT01;01-09-2017;4;301CR;T-27-230-SN-40;75.31428571;529.9781603;35;7.626952397999999
OT01;01-09-2017;4;301ER;T-27-230-SN-40;74.0625;244.7254083;16;7.665413918
OT01;31-08-2017;4;301I;L-1-13-PO-10;50.63333333;1134.205812;30;12.05150758
OT01;05-09-2017;4;301R;T-4-22-SN-10;53.35294118;606.7126916;17;11.70909017
OT01;01-09-2017;4;301R;T-27-230-SN-40;84.60869565;525.8939624;46;6.627141567000001
OT01;14-09-2017;4;307EI;L-6-21-SN-25;64.38461538;311.3900687;13;9.592609687000001
OT01;14-09-2017;4;307I;L-6-21-SN-25;29.76;1390.7676689999998;25;14.61885505
OT01;23-08-2017;4;308I;T-6-45-PO-5;61.29166667;577.9301874;24;9.618074582
OT01;05-09-2017;4;308R;T-4-22-SN-10;47.75;473.57933330000003;12;12.31294159
OT01;14-09-2017;4;315EI;L-6-21-SN-25;79.16;405.7920625;25;7.896558205
OT01;01-09-2017;4;321R;T-29-238-SN-10;14.0;360.8712;9;12.41111868
OT01;23-08-2017;4;323R;L-33-52-OP-20;56.125;41.49204166;8;4.463684398
OT01;31-08-2017;4;325RPM;T-18-153-PO-15;22.25;80.00243333;4;8.765519778
OT01;01-09-2017;4;329I;T-29-238-SN-10;13.88888889;274.4261333;9;10.82299729
OT01;01-09-2017;4;345I;T-29-238-SN-10;17.30769231;906.6976332999999;13;16.36875454
OT01;05-09-2017;4;345I;L-28-3-PO-13;85.55555556;94.47934998;9;6.350431927000001
OT01;17-11-2017;4;348R;T-12-12-OP-15;39.5;320.0388583;8;12.39688105
OT01;26-09-2017;4;401I;T-13-104-PO-33;71.73684211;1216.205104;19;15.68132233
OT01;05-09-2017;4;402I;T-9-71-PO-65;27.6875;1131.851394;16;16.4850696
OT01;14-09-2017;4;403IPM;T-18-153-PO-55;31.14285714;475.0395749;7;16.14626021
OT01;31-08-2017;4;403IPM;T-18-153-PO-15;62.16666667;414.38171869999996;6;16.28848678
OT01;31-08-2017;4;403R;T-18-157-OP-40;93.88235294;912.0383041000001;17;14.35615537
OT01;30-08-2017;4;405CI;T-15-135-PO-50;2.5625;36.50540833;16;2.960565578
OT01;30-08-2017;4;405I;T-15-135-PO-50;52.18181818;853.1527082999999;11;17.261284699999997
OT01;26-09-2017;4;405I;L-13-65-PO-125;90.09090909;769.8666666;11;16.39711667
OT01;22-08-2017;4;405R;T-15-135-OP-45;38.0;316.85333330000003;4;17.44436704
OT01;23-08-2017;4;406CI;T-17-136-PO-5;120.0;234.88233540000002;5;13.43371862
OT01;06-09-2017;4;406CR;T-17-136-OP-50;43.25;408.3733332;4;19.80408416
OT01;23-08-2017;4;406I;T-17-136-PO-5;103.61538459999998;507.72504580000003;13;12.24894512
OT01;05-09-2017;4;406I;T-9-71-PO-65;42.59459459;2226.029485;37;15.202697899999999
OT01;06-09-2017;4;406R;T-17-136-OP-50;41.75;453.3030624;8;14.75385138
OT01;05-09-2017;4;407I;T-9-71-PO-65;50.22727273;1167.144771;22;14.27601827
OT01;25-08-2017;4;408EI;T-5-29-NS-15;120.7857143;526.3009728000001;14;12.017361900000001
OT01;01-09-2017;4;408I;E-5-30-PO-7;86.52631579;1154.448046;19;15.27799865
OT01;25-08-2017;4;408R;T-5-29-NS-15;25.9;829.2032664;10;17.84787738
OT01;06-09-2017;4;409I;T-14-131-PO-30;98.42105263;250.8623812;19;7.121919181
OT01;05-09-2017;4;409R;T-16-136-OP-40;23.18181818;892.6588499;11;17.6564133
OT01;08-09-2017;4;409R;T-14-121-OP-20;29.9;395.8292437;10;12.33133254
OT01;25-08-2017;4;410EI;T-5-29-NS-15;128.63636359999998;350.2591854;11;11.05998392
OT01;06-09-2017;4;410EI;T-14-131-PO-30;108.6;536.8765021;10;14.36128396
OT01;01-09-2017;4;410I;E-5-30-PO-7;106.15789469999999;994.5313395;19;14.18040084
OT01;06-09-2017;4;410I;T-14-131-PO-30;96.72727273;1349.034889;22;15.34816014
OT01;25-08-2017;4;410R;T-5-29-NS-15;9.846153846;627.3365997999999;13;13.61553491
OT01;08-09-2017;4;411R;T-14-121-OP-20;18.0;689.6223999;8;18.19771075
OT01;31-08-2017;4;412I;L-19-33-NS-45;17.11111111;723.5508332;9;17.57394815
OT01;31-08-2017;4;412R;L-19-28-OP-40;42.57142857;873.7698582;14;15.48426456
OT01;26-09-2017;4;413CI;L-13-65-PO-125;86.5;518.1534375;8;15.77394309
OT01;26-09-2017;4;413VI;L-13-65-PO-125;66.75;588.3616687000001;8;16.80866661
OT01;31-08-2017;4;418R;T-32-170-SN-4;38.6;375.4119916;10;12.00909117
OT01;31-08-2017;4;420ER;T-32-170-SN-4;25.2;785.669175;15;14.18503132
OT01;26-09-2017;4;421I;T-13-104-PO-33;62.18181818;850.1866664999999;11;17.23125358
OT01;08-09-2017;4;421I;T-17-141-PO-15;94.11111111;349.3542104;9;12.21146608
OT01;05-09-2017;4;422I;T-9-71-PO-65;31.38461538;1026.2004960000002;13;17.4140788
OT01;05-09-2017;4;422IPM;T-9-71-PO-65;31.38461538;1026.2004960000002;13;17.4140788
OT01;14-09-2017;4;422IPM;T-18-153-PO-55;29.0;203.9749666;3;16.16158235
OT01;31-08-2017;4;422IPM;T-18-153-PO-15;73.33333333;200.512925;6;11.33056672
OT01;31-08-2017;4;422R;T-18-157-OP-40;73.6;268.07138330000004;10;10.14801964
OT01;23-08-2017;4;425I;T-6-45-PO-5;57.52631579;839.3637687;19;13.02729898
OT01;31-08-2017;4;425R;T-32-170-SN-4;33.07142857;1539.6772939999998;28;14.53422597
OT01;23-08-2017;4;426I;T-17-136-PO-5;88.9;330.1772729;10;11.26236659
OT01;05-09-2017;4;426I;T-9-71-PO-65;34.9375;919.218629;16;14.85612308
OT01;06-09-2017;4;426R;T-17-136-OP-50;30.66666667;224.0283333;3;16.93740678
OT01;06-09-2017;4;428CI;T-13-12-NS-25;23.2;1019.156783;15;16.15589201
OT01;17-11-2017;4;428CR;T-12-12-OP-15;46.14285714;215.8602583;7;10.88412191
OT01;22-08-2017;4;428EI;T-6-7-OP-35;52.30769231;656.5832916;13;13.92930053
OT01;06-09-2017;4;428I;T-13-12-NS-25;27.0;1184.3571;19;15.4746418
OT01;22-08-2017;4;428I;T-6-7-OP-35;74.9;439.6570603999999;20;9.189631557
OT01;17-11-2017;4;428R;T-12-12-OP-15;46.72727273;895.376327;22;12.50395882
OT01;01-09-2017;4;428R;T-5-7-SN-13;65.55555556;230.64886040000002;9;9.922257035
OT01;23-08-2017;4;429CI;T-6-45-PO-5;22.57142857;480.80713330000003;7;16.24398211
OT01;08-09-2017;4;429CI;T-14-121-OP-20;76.0;67.45411249;3;9.293935631
OT01;25-08-2017;4;429CR;T-14-115-OP-5;35.0;219.7465417;4;14.52737342
OT01;23-08-2017;4;429I;T-6-45-PO-5;49.14285714;223.8163667;7;11.082888699999998
OT01;25-08-2017;4;429R;T-14-115-OP-5;30.2;275.5692667;5;14.5507862
OT01;31-08-2017;4;429R;T-32-170-SN-4;26.57142857;927.6258082;14;15.95432611
OT01;22-08-2017;4;429R;T-6-7-OP-35;56.875;280.3452916;8;11.60266388
OT01;23-08-2017;4;430I;T-6-45-PO-5;95.61111111;1269.255635;18;16.45865603
OT01;23-08-2017;4;430I;T-17-136-PO-5;132.7272727;609.8666666;11;14.59409528
OT01;25-08-2017;4;430R;T-14-115-OP-5;21.0;722.7733331000001;7;19.91627488
OT01;06-09-2017;4;430R;T-17-136-OP-50;46.75;742.6666665;8;18.88461102
OT01;26-09-2017;4;431CI;T-13-104-PO-33;80.86666667;665.3432291;15;13.05369054
OT01;26-09-2017;4;431VI;T-13-104-PO-33;44.0;168.38941880000002;4;12.71696496
OT01;23-08-2017;4;435I;T-6-45-PO-5;55.33333333;359.526575;12;10.72830093
OT01;30-08-2017;4;435I;T-15-135-PO-50;40.8;265.2685042;5;14.2762424
OT01;22-08-2017;4;435R;T-15-135-OP-45;25.2;327.7921333;5;15.86975904
OT01;24-08-2017;4;501I;T-19-116-PO-10;53.84210526;756.1583166;19;12.36475847
OT01;23-08-2017;4;501R;T-17-116-OP-30;40.42857143;587.2015832999999;14;12.69362495
OT01;06-09-2017;4;502CI;T-14-131-PO-30;0.0;0.0;9;0.0
OT01;30-08-2017;4;502I;T-15-135-PO-50;48.2;738.6655249;15;13.75416902
OT01;06-09-2017;4;502I;T-14-131-PO-30;90.21052632;660.0063604;19;11.55189762
OT01;05-09-2017;4;502R;T-16-136-OP-40;14.33333333;1041.7775;15;16.33420224
OT01;08-09-2017;4;502R;T-14-121-OP-20;48.75;299.18460830000004;8;11.98617741
OT01;22-08-2017;4;502R;T-15-135-OP-45;46.27272727;488.4937833000001;11;13.06138555
OT01;23-08-2017;4;503I;T-10-64-PO-12;18.25;2134.623333;24;18.4846434
OT01;23-08-2017;4;503IPM;T-10-64-PO-12;18.25;2134.623333;24;18.4846434
OT01;01-09-2017;4;503IPM;L-17-19-PO-45;34.4;665.8780998999999;10;15.99386541
OT01;23-08-2017;4;504I;T-10-64-PO-12;23.83333333;487.15333319999996;6;17.66091846
OT01;24-08-2017;4;504I;T-19-116-PO-10;51.76923077;857.9236749;13;15.92240702
OT01;23-08-2017;4;504R;T-17-116-OP-30;44.11111111;363.68265;9;12.45937072
OT01;14-09-2017;4;505IPM;T-18-153-PO-55;18.33333333;804.3866665;9;18.52965137
OT01;31-08-2017;4;505IPM;T-18-153-PO-15;24.45454545;883.5099999;11;17.56570009
OT01;31-08-2017;4;505R;T-18-157-OP-40;66.84210526;959.9690582000001;19;13.93182108
OT01;23-08-2017;4;507I;T-10-64-PO-12;19.54545455;843.3910082;11;17.16224953
OT01;31-08-2017;4;508IPM;T-18-153-PO-15;46.0;322.6043;6;14.37194419
OT01;26-09-2017;4;509I;L-13-65-PO-125;33.18181818;571.4737604;11;14.12725798
OT01;25-08-2017;4;510I;L-10-26-PO-30;78.375;181.27215;8;9.329892091
OT01;14-09-2017;4;513IPM;T-18-153-PO-55;21.0;413.0133332;4;19.91627488
OT01;31-08-2017;4;513IPM;T-18-153-PO-15;50.16666667;344.4352;6;14.85026523
OT01;31-08-2017;4;513R;T-18-157-OP-40;83.25;550.6242166000001;12;13.2767905
OT01;31-08-2017;4;513VI;T-18-157-OP-40;35.0;156.70526669999998;3;14.16567392
OT01;14-09-2017;4;513VI;T-18-153-PO-55;15.0;144.06;2;16.63461596
OT01;30-08-2017;4;513VI;L-19-37-SN-5;45.0;131.1946417;3;12.96144713
OT01;31-08-2017;4;513VI;T-18-153-PO-15;15.0;144.06;2;16.63461596
OT01;31-08-2017;4;514CR;T-18-157-OP-40;35.0;160.88700830000002;3;14.35343781
OT01;31-08-2017;4;514IPM;T-18-153-PO-15;35.0;156.70526669999998;3;14.16567392
OT01;31-08-2017;4;514R;T-18-157-OP-40;69.18181818;235.21741659999998;11;9.063469272
OT01;31-08-2017;4;514RPM;T-18-157-OP-40;69.18181818;235.21741659999998;11;9.063469272
OT01;25-08-2017;4;516I;L-10-26-PO-30;75.05882353;365.5093104;17;9.088261876
OT01;23-08-2017;4;517I;T-10-64-PO-12;13.5;633.945;10;15.60564998
OT01;23-08-2017;4;517IPM;T-10-64-PO-12;13.5;633.945;10;15.60564998
OT01;01-09-2017;4;517IPM;L-17-19-PO-45;15.0;216.09;3;16.63461596
OT01;31-08-2017;4;517R;L-19-28-OP-40;48.125;310.58115;8;12.21233263
OT01;23-08-2017;4;518I;T-10-64-PO-12;16.57894737;1524.686667;19;17.55777875
OT01;24-08-2017;4;518I;T-19-116-PO-10;60.75;442.6268666;12;11.90376471
OT01;23-08-2017;4;518R;T-17-116-OP-30;35.8;522.4175833;10;14.16657823
OT01;30-08-2017;4;546EI;T-15-135-PO-50;16.0;75.0;1;16.97409791
OT01;06-09-2017;4;546EI;T-14-131-PO-30;57.0;18.4512;1;8.419152565
OT01;14-09-2017;4;712I;E-32-254-SN-5;27.0;65.251875;2;11.19534731
OT01;31-08-2017;4;712I;L-4-18-PO-30;68.5;26.206875;2;7.094939429
OT01;30-08-2017;4;712I;L-32-3-SN-70;62.5;31.471875;2;7.77503553
OT01;31-08-2017;4;B01R;L-4-18-PO-30;84.16666667;78.09252499;6;7.071070687000001
OT01;05-09-2017;4;B02R;T-4-22-SN-10;12.0;288.12;5;14.87845282
OT01;31-08-2017;4;B03I;L-1-13-PO-10;29.5;805.6155332999999;14;14.86811697
OT01;05-09-2017;4;B03I;T-5-40-NS-5;21.17647059;1113.5838;17;15.86328266
OT01;01-09-2017;4;B03I;E-5-30-PO-7;64.66666667;402.467625;15;10.15256824
OT01;25-08-2017;4;B03R;T-5-29-NS-15;19.5;668.7585333;10;16.02842095
OT01;01-09-2017;4;B09I;E-5-30-PO-7;48.0;194.0208083;5;12.20942535
OT01;01-09-2017;4;B09I;T-5-30-PO-6;48.0;194.0208083;5;12.20942535
OT01;01-09-2017;4;B09R;T-5-7-SN-13;62.71428571;177.535025;7;9.870725491
OT01;14-09-2017;4;B10I;T-2-9-OP-20;35.42857143;206.36595;7;10.64206904
OT01;23-08-2017;4;B11R;T-6-45-PO-5;44.44444444;336.25311669999996;9;11.98030779
OT01;23-08-2017;4;B12R;T-6-45-PO-5;82.63636364;133.8957666;11;6.838221307
OT01;14-09-2017;4;B12R;L-6-21-SN-25;91.77777778;56.24342499;9;4.899713613
OT01;31-08-2017;4;B12R;L-4-18-PO-30;80.0;165.54895;12;7.279954477
OT01;14-09-2017;4;B13R;L-6-21-SN-25;35.16666667;305.4047;6;13.98357784
OT01;05-09-2017;4;B14R;T-4-22-SN-10;13.5;214.6494;4;14.3578997
OT01;31-08-2017;4;B19I;L-4-18-PO-30;34.28571429;326.716075;7;13.39036153
OT01;01-09-2017;4;B20I;E-5-30-PO-7;46.18181818;453.82901660000005;11;12.58942395
OT01;23-08-2017;4;B21R;T-6-45-PO-5;21.25;441.18375;8;14.55528896
OT01;31-08-2017;4;B22R;L-4-18-PO-30;23.90909091;321.5447333;11;10.59693887
OT01;05-09-2017;4;B23R;T-4-22-SN-10;30.0;15.68653333;1;7.762820779
OT01;31-08-2017;4;B24I;L-1-13-PO-10;23.57142857;403.7681667;7;14.88583118
OT01;05-09-2017;4;B24R;T-4-22-SN-10;15.0;144.06;2;16.63461596
OT01;14-09-2017;4;B27I;T-2-9-OP-20;25.16666667;254.70608330000002;12;9.029945043
OT01;05-09-2017;4;B27R;T-4-22-SN-10;12.0;141.1788;4;11.64423117
OT01;01-09-2017;4;B29I;E-5-30-PO-7;44.28571429;203.4647417;7;10.56699817
OT01;23-08-2017;4;C01CI;T-17-136-PO-5;57.81818182;20.086975;11;2.6486038030000003
OT01;05-09-2017;4;C01CR;T-16-136-OP-40;31.73913043;884.9617082999998;23;12.15778316
OT01;06-09-2017;4;C01CR;T-17-136-OP-50;50.9;192.0117417;10;8.588552304
OT01;23-08-2017;4;C01I;T-17-136-PO-5;88.2;51.46273332;5;6.288071824
OT01;05-09-2017;4;C01R;T-16-136-OP-40;38.75;750.8513082999999;20;12.00930969
OT01;23-08-2017;4;C01R;T-17-116-OP-30;18.4;711.2394082999999;10;16.52966216
OT01;06-09-2017;4;C01R;T-17-136-OP-50;45.57142857;133.7590583;7;8.567786833
OT01;08-09-2017;4;C02CR;T-17-141-PO-15;78.91666667;249.024075;12;8.928656518
OT01;08-09-2017;4;C02R;T-17-141-PO-15;66.28571429;212.7213;7;10.80469571
OT01;08-09-2017;4;C02RPM;T-17-141-PO-15;66.28571429;212.7213;7;10.80469571
OT01;23-08-2017;4;C03CI;L-17-24-NS-10;39.11111111;444.70426669999995;9;13.77750143
OT01;30-08-2017;4;C03CR;L-17-22-SN-40;71.5;3.2813666660000003;2;2.5105475680000002
OT01;01-09-2017;4;C03CR;L-17-46-SN-5;87.88888889;94.19817499;9;6.340975293
OT01;23-08-2017;4;C03I;L-17-24-NS-10;33.33333333;278.296925;9;10.89905942
OT01;30-08-2017;4;C03R;L-17-22-SN-40;62.8;31.13535;5;4.89100318
OT01;01-09-2017;4;C03R;L-17-46-SN-5;45.125;30.24088333;8;3.8107311860000004
OT01;01-09-2017;4;C04RPM;L-17-19-PO-45;22.8;117.649;5;9.507474937000001
OT01;05-09-2017;4;C05I;T-16-136-OP-40;27.5;485.4284187;12;12.46602654
OT01;23-08-2017;4;C05I;T-17-116-OP-30;14.42857143;339.8439;7;13.65673212
OT01;24-08-2017;4;C05R;T-19-116-PO-10;34.4;61.85576667;5;6.89383947
OT01;01-09-2017;4;C06RPM;L-17-19-PO-45;26.55555556;238.1841833;9;10.08303503
OT01;23-08-2017;4;C07I;T-17-116-OP-30;14.58333333;564.0123;12;13.43722954
OT01;23-08-2017;4;C07IPM;T-17-116-OP-30;14.58333333;564.0123;12;13.43722954
OT01;24-08-2017;4;C07R;T-19-116-PO-10;23.66666667;128.16;3;12.81066556
OT01;05-09-2017;4;C08I;L-16-10-NS-50;6.857142857;141.1788;7;8.802211395
OT01;05-09-2017;4;C08R;T-16-136-OP-40;14.57142857;227.45473330000002;7;11.17260747
OT01;23-08-2017;4;C09I;L-17-24-NS-10;7.384615385;375.2688;13;10.53066081
OT01;05-09-2017;4;C10ER;L-16-10-NS-50;13.53846154;858.33;13;15.92617712
OT01;05-09-2017;4;C12I;L-16-10-NS-50;6.0;70.5894;4;8.233714821
OT01;05-09-2017;4;C12R;T-16-136-OP-40;12.57142857;285.2757;7;12.51236605
OT01;05-09-2017;4;C13R;T-16-136-OP-40;12.11111111;325.2228;9;11.78217066
OT01;05-09-2017;4;C14R;L-16-10-NS-50;11.29411765;936.36;17;14.54631665
OT01;30-08-2017;4;C16I;L-17-22-SN-40;61.85714286;35.44135833;7;4.410240067
OT01;01-09-2017;4;C16I;L-17-46-SN-5;57.26666667;84.65505;15;4.656256293999999
OT01;05-09-2017;4;C16R;T-16-136-OP-40;21.36842105;747.98575;19;12.29775773
OT01;23-08-2017;4;C16R;L-17-24-NS-10;31.53333333;459.57090830000004;15;10.84892499
OT01;05-09-2017;4;C17R;L-16-10-NS-50;12.0;70.5894;2;11.64423117
OT01;05-09-2017;4;C19R;T-16-136-OP-40;12.5;320.5704;8;12.40717156
OT01;31-08-2017;4;D01I;L-19-33-NS-45;12.90909091;463.9467;11;12.72898497
OT01;31-08-2017;4;D01IPM;L-19-33-NS-45;12.90909091;463.9467;11;12.72898497
OT01;14-09-2017;4;D02I;T-18-153-PO-55;33.5;357.5961;10;11.72067053
OT01;31-08-2017;4;D02I;T-18-153-PO-15;28.8;387.0441417;10;12.19372287
